Գլխացավեր և միգրեններ ունեմ։ Վերջին օրերին գանգրացման հաճախականությունը մեծացել է։,Դեղամիջոցների ռեակցիա
Ունեմ ասթմա և հաճախ ունենում եմ շնչահեղձություն ու շնչառական դժվարություն։,Ալերգիա
"Ավելորդ ձվարանային անբավարարության նշաններն ու ախտանշանները ներառում են անկանոն դաշտան, տաք ալիքներ և անպտղության խնդիրներ։",Վաղաժամ ձվարանային անբավարարություն
"Հազ, բարձր ջերմություն, շնչահեղձություն, ընտանիքի պատմություն՝ ասթմա, վերին շնչուղիների լարում։",Բրոնխիալ ասթմա
"Սարսուռ, փսխում, բարձր ջերմություն, գլխացավ, սրտխառնոց",Մալարիա
Հոդացավեր և մկանացավեր ունեմ։ Վերջին օրերին ցավերը ուժեղացել են։,Դենգեի տենդ
Անընդհատ սրտխառնոց և հաճախակի փսխում։ Ունեմ ախորժակի կորուստ։,Ամեաբիազ
"Լիմֆատիկ համակարգի ուռուցքային խանգարումները կարող են առաջացնել վզիկի, թևատակի և աճուկի մեծացած հանգույցներ։",Անկայուն լիմֆոմա
"Կրծքավանդակի ցավ, գլխապտույտ, շնչահեղձություն, հևոց, սրտխփոց",Սրտամկանի ինֆարկտ
"Հոտառության կորուստ, ջերմություն, հազ, կոկորդի ցավ, հոգնածություն",COVID-19
"Անընդհատ փորկապություն, որովայնի ցավ, գազեր",Ողնային խանգարում
"Որովայնային ուռածություն, հոգնածություն, սրտխառնոց",Աղիքների բորբոքում
"Լսողական խնդիրներ, ականջի աղմուկ, հավասարակշռության կորուստ",Մենյերի հիվանդություն
"Մաշկի վրա կարմիր, քոր առաջացնող բծեր",Սպիացած մաշկային ալերգիա
"Արյունային փսխում, սրտխառնոց, որովայնի սուր ցավ",Ստամոքսաղիքային արյունահոսություն
"Աչքի ցավ, արցունքահոսություն, լույսի նկատմամբ զգայունություն",Կոնյուկտիվիտ
"Հազ՝ սպիտակ լորձով, թուլություն, թեթև ջերմություն",Վիրուսային շնչառական վարակ
"Ոտքերում ուժեղ այտուց, ծանրություն, ցավ",Վենոզ անբավարարություն
"Մաշկի չորություն, ճաքեր, քոր",Դերմատիտ
"Կանաչ-դեղին քթահոսություն, դեմքի ճնշում, գլխացավ",Սինուսիտ
"Ուժեղ ողնաշարային ցավ, շարժման սահմանափակում",Ցածր մեջքի ցավ
"Սրտխառնոց, փսխում, սուր որովայնային բռնկումներ",Սննդային թունավորում
"Հոգնածություն, աղմկոտ շնչառություն, հազ",Բրոնխիտ
"Ցածր ջերմություն, քթախցանում, բերանի չորություն",Սառնություն/մրսածություն
"Աչքի կարմրություն, քոր, այրոց",Աչքի ալերգիա
"Հազ՝ արյունով, քաշի կորուստ, գիշերային քրտինքներ",Տուբերկուլոզ
"Սուր հոդացավեր, այտուցված և կարմրած հոդեր",Ռևմատոիդ արթրիտ
"Շարժման դժվարություն, ձեռքի թուլություն",Նեյրոպաթիա
"Ուժեղ գլխապտույտ, առատ քրտինք, թուլություն",Հիպոգլիկեմիա
"Կրծքավանդակի սեղմող ցավ, ծանր շնչառություն",Անգինա
"Անքնություն, անհանգստություն, սրտխփոց",Վերջոտ նյարդային լարվածություն
"Թույլություն, հոգնածություն, կտրուկ քաշի նվազում",Հիպերթիրեոզ
"Թրոմբների առաջացում, ոտքի ցավ, կարմրություն",Խոր վենայի թրոմբոզ
"Հոդախանգարում, մատների ձևախախտում",Օստեոարթրիտ
"Մկանային թուլություն, տեսողության խնդիրներ",ՄԻԱՎ-ի հետ կապված նյարդաբանական ախտանշաններ
"Հազ, խուլ ձայն, կոկորդի ցավ",Լարինգիտ
"Ստամոքսի այրոց, թթվային հետհոսք",Գաստրոէզոֆագեալ ռեֆլյուքս
"Արյունային միզարձակում, կողային ցավ",Միզուղիների քարեր
Ուժեղ կրկնվող միգրենային նոպաներ,Միգրեն
"Քաշի ավելացում, մկանային ցավ, մազաթափություն",Հիպոթիրեոզ
"Շնչահեղձություն, սևացումներ, ուշագնացության նախանշաններ",Անիեմիա
"Միզարձակման ժամանակ այրոց, հաճախակություն",Ցիստիտ
"Սպիտակ ծածկույթ լեզվի վրա, բերանի ցավ",Բերանի սնկային վարակ
Սուր ցավ թևատակի շրջանում,Լիմֆատիկ հանգույցների բորբոքում
"Թքի ավելացում, թուլություն, սրտխառնոց",Թունավորում
"Ձայների երկակի լսում, գլխապտույտ",Լաբիրինթիտ
"Ցածր որովայնային ցավ, թարախային արտազատում",Պելվիկ բորբոքային հիվանդություն
Արտահայտված ցավ աջ վերին որովայնում,Լեղապարկի բորբոքում
"Մաշկի դեղնություն, մուգ մեզ",Սպիտակուցային հեպատիտ
"Գլխի ուժեղ ցավ, լույսի նկատմամբ զգայունություն, կոշտ պարանոց",Մենինգիտ
"Բարձր ջերմություն, կարմիր կետավոր ցան",Կարմրուկ
"Աչքերի չորություն, այրոց",Կերատիտ
"Քթի արյունահոսություն, կապտուկներ",Թրոմբոցիտոպենիա
"Որովայնային ուռածություն, գազեր, ծանրություն",Գաստրիտի սրացում
"Ոտքերի մկանային կծկումներ, դող",Էլեկտրոլիտների խանգարում
"Շնչառության արագացում, սրտխփոց",Վեգետատիվ դիսֆունկցիա
Մաշկի սպիտակից դեղին անցում,Լյարդի համախտանիշ
