Թոքաբորբ,Թոքաբան (Պուլմոնոլոգ)
Սնկային վարակ,Մաշկաբան-վեներոլոգ / Ինֆեկցիոնիստ
Վզիկային սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ (օրթոպեդ-վնասվածքաբան)
Գաստրոէզոֆագեալ ռեֆլյուքս հիվանդություն,Գաստրոէնտերոլոգ
Փսորիազ,Մաշկաբան
Արթրիտ,Ռևմատոլոգ
Թոքաբորբ (կրկնվող),Թոքաբան
Արթրիտ (կրկնվող),Ռևմատոլոգ
Վզիկային սպոնդիլոզ (կրկնվող),Նյարդաբան / Ողնաշարի վիրաբույժ
Մալարիա,Վարակաբան
Տիֆ,Վարակաբան
Խոցային հիվանդություն (փոկային հիվանդություն),Գաստրոէնտերոլոգ
Մալարիա (կրկնվող),Վարակաբան
Միգրեն,Նյարդաբան
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Դեղնախտ,Լյարդաբան (Հեպատոլոգ) / Վարակաբան (եթե վարակային է)
Միգրեն,Նյարդաբան
Մալարիա,Վարակաբան
Մալարիա,Վարակաբան
Չամորձուկ (Քութեշ),Վարակաբան / Մաշկաբան
Արթրիտ,Ռևմատոլոգ
Միզուղիների վարակ,Ուրոլոգ / Նեֆրոլոգ
Չամորձուկ (Քութեշ),Վարակաբան / Մաշկաբան
Սնկային վարակ,Մաշկաբան-վեներոլոգ
Դեղնախտ,Լյարդաբան / Վարակաբան
Տիֆ,Վարակաբան
Վզիկային սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Թոքաբորբ,Թոքաբան
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Չամորձուկ (Քութեշ),Վարակաբան / Մաշկաբան
Գաստրոէզոֆագեալ ռեֆլյուքս հիվանդություն,Գաստրոէնտերոլոգ
Իմպետիգո,Մաշկաբան
Բարձր արյան ճնշում (Հիպերտոնիա),Սրտաբան
Տիֆ,Վարակաբան
Սնկային վարակ,Մաշկաբան-վեներոլոգ
Պարզ մրսածություն,Թերապևտ / Ընտանեկան բժիշկ
Բարձր արյան ճնշում (Հիպերտոնիա),Սրտաբան
Իմպետիգո,Թերապևտ / Ընտանեկան բժիշկ
Միգրեն,Նյարդաբան
Դեղային ռեակցիա,Ալերգոլոգ / Թերապևտ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Թոքաբորբ,Թոքաբան
Միզուղիների վարակ,Ուրոլոգ / Նեֆրոլոգ
Դենգե,Վարակաբան
Դենգե,Վարակաբան
Չամորձուկ (Քութեշ),Վարակաբան / Մաշկաբան
Միգրեն,Նյարդաբան
Վզիկային սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Մալարիա,Վարակաբան
Դեղնախտ,Լյարդաբան / Վարակաբան
Մալարիա,Վարակաբան
Պարզ մրսածություն,Թերապևտ / Ընտանեկան բժիշկ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Թոքաբորբ,Թոքաբան
Գաստրոէզոֆագեալ ռեֆլյուքս հիվանդություն,Գաստրոէնտերոլոգ
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Տարաճյուղ երակներ (վարիկոզ),Անոթային վիրաբույժ / Ֆլեբոլոգ
Պարզ մրսածություն,Թերապևտ / Ընտանեկան բժիշկ
Գաստրոէզոֆագեալ ռեֆլյուքս հիվանդություն,Գաստրոէնտերոլոգ
Փսորիազ,Մաշկաբան
Վզիկային սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Խոցային հիվանդություն,Գաստրոէնտերոլոգ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Պարզ մրսածություն,Թերապևտ / Ընտանեկան բժիշկ
Պարզ մրսածություն,Թերապևտ / Ընտանեկան բժիշկ
Միզուղիների վարակ,Ուրոլոգ / Նեֆրոլոգ
Դեղնախտ,Լյարդաբան / Վարակաբան
Թոքաբորբ,Թոքաբան
Ջրէկ,Վարակաբան
Սնկային վարակ,Մաշկաբան-վեներոլոգ
Տիֆ,Վարակաբան
Գաստրոէզոֆագալ ռեֆլյուքս հիվանդություն,Գաստրոէնտերոլոգ
Միգրեն,Նյարդաբան
Իմպետիգո,Մաշկաբան
Դենգե,Վարակաբան
Ալերգիա,Ալերգոլոգ
Հոդաբորբ,Ռևմատոլոգ
Դեղային ռեակցիա,Ալերգոլոգ / Թերապևտ
Ալերգիա,Ալերգոլոգ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Իմպետիգո,Մաշկաբան
Միզուղիների վարակ,Ուրոլոգ / Նեֆրոլոգ
Ալերգիա,Ալերգոլոգ
Բարձր արյան ճնշում,Սրտաբան
Պարզ մրսածություն,Թերապևտ / Ընտանեկան բժիշկ
Մալարիա,Վարակաբան
Ջրէկ,Վարակաբան
Ալերգիա,Ալերգոլոգ
Հոդաբորբ,Ռևմատոլոգ
Դենգե,Վարակաբան
Ջրէկ,Վարակաբան
Շաքարային դիաբետ,Էնդոկրինոլոգ
Վարիկոզ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Միգրեն,Նյարդաբան
Բարձր արյան ճնշում,Սրտաբան
Միզուղիների վարակ,Ուրոլոգ / Նեֆրոլոգ
Գաստրոէզոֆագալ ռեֆլյուքս հիվանդություն,Գաստրոէնտերոլոգ
Հոդաբորբ,Ռևմատոլոգ
Ալերգիա,Ալերգոլոգ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Պարանոցի սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Իմպետիգո,Մաշկաբան
Գաստրոէզոֆագալ ռեֆլյուքս հիվանդություն,Գաստրոէնտերոլոգ
Սնկային վարակ,Մաշկաբան-վեներոլոգ
Դենգե,Վարակաբան
Միգրեն,Նյարդաբան
Պարզ մրսածություն,Թերապևտ / Ընտանեկան բժիշկ
Գաստրոէզոֆագալ ռեֆլյուքս հիվանդություն,Գաստրոէնտերոլոգ
Կրոնիկ քորային շերտավորում (Փսորիազ),Մաշկաբան
Թոքաբորբ,Թոքաբան
Պարանոցի սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Սնկային վարակ,Մաշկաբան-վեներոլոգ
Թթվային խոցային հիվանդություն,Գաստրոէնտերոլոգ
Մալարիա,Վարակաբան
Ալերգիա,Ալերգոլոգ
Փսորիազ,Մաշկաբան
Բարձր արյան ճնշում,Սրտաբան
Իմպետիգո,Մաշկաբան
Ջրէկ,Վարակաբան
Սնկային վարակ,Մաշկաբան-վեներոլոգ
Իմպետիգո,Մաշկաբան
Ալերգիա,Ալերգոլոգ
Թոքաբորբ,Թոքաբան
Պարանոցի սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Փսորիազ,Մաշկաբան
Տիֆ,Վարակաբան
Դեղամիջոցի ռեակցիա,Ալերգոլոգ / Թերապևտ
Մալարիա,Վարակաբան
Շաքարային դիաբետ,Էնդոկրինոլոգ
Իմպետիգո,Մաշկաբան
Վարիկոզ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Միզուղիների վարակ,Ուրոլոգ / Նեֆրոլոգ
Տիֆ,Վարակաբան
Ցեղնային դեղնախտ,Լյարդաբան / Վարակաբան
Միզուղիների վարակ,Ուրոլոգ / Նեֆրոլոգ
Իմպետիգո,Մաշկաբան
Փսորիազ,Մաշկաբան
Վարիկոզ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Պարզ մրսածություն,Թերապևտ / Ընտանեկան բժիշկ
Թթվային խոցային հիվանդություն,Գաստրոէնտերոլոգ
Բարձր արյան ճնշում,Սրտաբան
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Բարձր արյան ճնշում,Սրտաբան
Վարիկոզ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Միզուղիների վարակ,Ուրոլոգ / Նեֆրոլոգ
Թթվային խոցային հիվանդություն,Գաստրոէնտերոլոգ
Մալարիա,Վարակաբան
Փսորիազ,Մաշկաբան
Միգրեն,Նյարդաբան
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Միզուղիների վարակ,Ուրոլոգ / Նեֆրոլոգ
Փսորիազ,Մաշկաբան
Դենգե,Վարակաբան
Դենգե,Վարակաբան
Բարձր արյան ճնշում,Սրտաբան
Թոքաբորբ,Թոքաբան
Ալերգիա,Ալերգոլոգ
Վարիկոզ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Վարիկոզ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Դեղամիջոցի ռեակցիա,Ալերգոլոգ / Թերապևտ
Վարիկոզ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Սնկային վարակ,Մաշկաբան-վեներոլոգ
Պարանոցի սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Վարիկոզ երակներ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Տիֆ,Վարակաբան
Արթրիտ,Ռևմատոլոգ
Սնկային վարակ,Մաշկաբան-վեներոլոգ
Դեղամիջոցի ռեակցիա,Ալերգոլոգ / Թերապևտ
Թթվային խոցային հիվանդություն,Գաստրոէնտերոլոգ
Ալերգիա,Ալերգոլոգ
Գաստրոէզոֆագեալ ռեֆլյուքս,Գաստրոէնտերոլոգ
Թթվային խոցային հիվանդություն,Գաստրոէնտերոլոգ
Պարանոցի սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Տիֆ,Վարակաբան
Բարձր արյան ճնշում,Սրտաբան
Ցեղնային դեղնախտ,Լյարդաբան / Վարակաբան
Իմպետիգո,Մաշկաբան
Թոքաբորբ,Թոքաբան
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Բարձր արյան ճնշում,Սրտաբան
Պարզ մրսածություն,Թերապևտ / Ընտանեկան բժիշկ
Միգրեն,Նյարդաբան
Տիֆ,Վարակաբան
Կարմիր գոգնոց (կոկս),Վարակաբան
Պարզ մրսածություն,Թերապևտ / Ընտանեկան բժիշկ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Միգրեն,Նյարդաբան
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Դենգե,Վարակաբան
Արթրիտ,Ռևմատոլոգ
Դեղամիջոցի ռեակցիա,Ալերգոլոգ / Թերապևտ
Վարիկոզ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Ալերգիա,Ալերգոլոգ
Ցեղնային դեղնախտ,Լյարդաբան / Վարակաբան
Կարմիր գոգնոց (փսորիազ),Մաշկաբան
Արթրիտ,Ռևմատոլոգ
Դեղամիջոցի ռեակցիա,Ալերգոլոգ / Թերապևտ
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Թթվային խոցային հիվանդություն,Գաստրոէնտերոլոգ
Կոծկային գոգնոց (կոկս),Վարակաբան
Դենգե,Վարակաբան
Կարմիր գոգնոց (փսորիազ),Մաշկաբան
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Դենգե,Վարակաբան
Ճակատային կոնդիլոզ,Ուրոլոգ / Մաշկաբան
Իմպետիգո,Մաշկաբան
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Արթրիտ,Ռևմատոլոգ
Դենգե,Վարակաբան
Դենգե,Վարակաբան
Դենգե,Վարակաբան
Իմպետիգո,Մաշկաբան
Դեղամիջոցի ռեակցիա,Ալերգոլոգ / Թերապևտ
Արթրիտ,Ռևմատոլոգ
Ճակատային կոնդիլոզ,Ուրոլոգ / Մաշկաբան
Ճակատային կոնդիլոզ,Ուրոլոգ / Մաշկաբան
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Սնկային ինֆեկցիա,Մաշկաբան-վեներոլոգ
Մալարիա,Վարակաբան
Ալերգիա,Ալերգոլոգ
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Տարրավոր երակներ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Հետին սառը,Թերապևտ / Ընտանեկան բժիշկ
Դենգե,Վարակաբան
Միգրեն,Նյարդաբան
Դեղամիջոցի ռեակցիա,Ալերգոլոգ / Թերապևտ
Հիպերտոնիա,Սրտաբան
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Տարրավոր երակներ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Գաստրոէսոֆագեալ ռեֆլյուկս հիվանդություն,Գաստրոէնտերոլոգ
Մալարիա,Վարակաբան
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Իմպետիգո,Մաշկաբան
Հաշվային վարակ / թոքաբորբ,Թերապևտ / Թոքաբան
Պսորիազ,Մաշկաբան
Հիպերտոնիա,Սրտաբան
Իմպետիգո,Մաշկաբան
Շաքարային դիաբետ,Էնդոկրինոլոգ
Թոքաբորբ,Թոքաբան
Դենգե,Վարակաբան
Շաքարային դիաբետ,Էնդոկրինոլոգ
Բրոնխիալ ասթմա,Թոքաբան / Ալերգոլոգ
Մալարիա,Վարակաբան
Միգրեն,Նյարդաբան
Հետին սառը,Թերապևտ / Ընտանեկան բժիշկ
Դեղամիջոցի ռեակցիա,Ալերգոլոգ / Թերապևտ
Ճառագայթ,Ճառագայթաբան
Ալերգիա,Ալերգոլոգ
Պսորիազ,Մաշկաբան
Իմպետիգո,Մաշկաբան
Վարիկելա (ճիճվաշարժ),Վարակաբան
Շաքարային դիաբետ,Էնդոկրինոլոգ
Միգրեն,Նյարդաբան
Գաստրոէսոֆագեալ ռեֆլյուկս հիվանդություն,Գաստրոէնտերոլոգ
Միգրեն,Նյարդաբան
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Վարիկելա (ճիճվաշարժ),Վարակաբան
Գաստրոէսոֆագեալ ռեֆլյուկս հիվանդություն,Գաստրոէնտերոլոգ
Դենգե,Վարակաբան
Իմպետիգո,Մաշկաբան
Արտրիտ,Ռևմատոլոգ
Հիպերտոնիա,Սրտաբան
Շաքարային դիաբետ,Էնդոկրինոլոգ
Ալերգիա,Ալերգոլոգ
Շիրվանային սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Մուգաղիչ վարակ (ֆունգալ),Մաշկաբան-վեներոլոգ
Հետին սառը,Թերապևտ / Ընտանեկան բժիշկ
Միգրեն,Նյարդաբան
Պսորիազ,Մաշկաբան
Մուգաղիչ վարակ (ֆունգալ),Մաշկաբան-վեներոլոգ
Շիրվանային սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Տիֆոիդ,Վարակաբան
Արտրիտ,Ռևմատոլոգ
Հետին սառը,Թերապևտ / Ընտանեկան բժիշկ
Վարիկելա (ճիճվաշարժ),Վարակաբան
Պեպտիկ փայծաղ հիվանդություն,Գաստրոէնտերոլոգ
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Իմպետիգո,Մաշկաբան
Իմպետիգո,Մաշկաբան
Ալերգիա,Ալերգոլոգ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Ալերգիա,Ալերգոլոգ
Վարիկոզային երակներ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Բրոնխային ասթմա,Թոքաբան / Ալերգոլոգ
Նեոմոնիա,Վարակաբան / Թոքաբան
Շիրվանային սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Մալարիա,Վարակաբան
Արտրիտ,Ռևմատոլոգ
Բրոնխային ասթմա,Թոքաբան / Ալերգոլոգ
Շիրվանային սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Իմպետիգո,Մաշկաբան
Գաստրոէսոֆագեալ ռեֆլյուկս հիվանդություն,Գաստրոէնտերոլոգ
Դեղորայքային ռեակցիա,Ալերգոլոգ / Թերապևտ
Նեոմոնիա,Վարակաբան / Թոքաբան
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Մալարիա,Վարակաբան
Վարիկելա (ճիճվաշարժ),Վարակաբան
Վարիկոզային երակներ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Պեպտիկ փայծաղ հիվանդություն,Գաստրոէնտերոլոգ
Պսորիազ,Մաշկաբան
Միգրեն,Նյարդաբան
Շաքարային դիաբետ,Էնդոկրինոլոգ
Բրոնխային ասթմա,Թոքաբան / Ալերգոլոգ
Միգրեն,Նյարդաբան
Պեպտիկ փայծաղ հիվանդություն,Գաստրոէնտերոլոգ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Բրոնխային ասթմա,Թոքաբան / Ալերգոլոգ
Բրոնխային ասթմա,Թոքաբան / Ալերգոլոգ
Արտրիտ,Ռևմատոլոգ
Մուգաղիչ վարակ (ֆունգալ),Մաշկաբան-վեներոլոգ
Հետին սառը,Թերապևտ / Ընտանեկան բժիշկ
Միգրեն,Նյարդաբան
Շիրվանային սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Դենգե,Վարակաբան
Ալերգիա,Ալերգոլոգ
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Դեղորայքային ռեակցիա,Ալերգոլոգ / Թերապևտ
Միգրեն,Նյարդաբան
Վարիկոզային երակներ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Արտրիտ,Ռևմատոլոգ
Միզուղիների ինֆեկցիա,Ուրոլոգ / Նեֆրոլոգ
Պեպտիկ փայծաղ հիվանդություն,Գաստրոէնտերոլոգ
Գաստրոէսոֆագեալ ռեֆլյուկս հիվանդություն,Գաստրոէնտերոլոգ
Մուգաղիչ վարակ (ֆունգալ),Մաշկաբան-վեներոլոգ
Շաքարային դիաբետ,Էնդոկրինոլոգ
Արտրիտ,Ռևմատոլոգ
Արտրիտ,Ռևմատոլոգ
Տիֆոիդ,Վարակաբան
Գաստրոէսոֆագեալ ռեֆլյուկս հիվանդություն,Գաստրոէնտերոլոգ
Ալերգիա,Ալերգոլոգ
Վարիկոզային երակներ,Անոթային վիրաբույժ / Ֆլեբոլոգ
Տիֆոիդ,Վարակաբան
Մուգաղիչ վարակ (ֆունգալ),Մաշկաբան-վեներոլոգ
Շիրվանային սպոնդիլոզ,Նյարդաբան / Ողնաշարի վիրաբույժ
Մուգաղիչ վարակ (ֆունգալ),Մաշկաբան-վեներոլոգ
Իմպետիգո,Մաշկաբան
Տիֆոիդ,Վարակաբան
Մուգաղիչ վարակ (ֆունգալ),Մաշկաբան-վեներոլոգ
Դեղորայքային ռեակցիա,Ալերգոլոգ / Թերապևտ
Ցեղակարմրություն (Ճապոնական լյուրջ),Վարակաբան
